          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,47061,    0,         0,   341280,13.79 
   LUT as Logic            ,40023,    0,         0,   341280,11.73 
   LUT as Memory           , 7038,    0,         0,   184320, 3.82 
     LUT as Distributed RAM, 2784,    0,          ,         ,      
     LUT as Shift Register , 4254,    0,          ,         ,      
 CLB Registers             ,74679,    0,         0,   682560,10.94 
   Register as Flip Flop   ,74639,    0,         0,   682560,10.94 
   Register as Latch       ,   40,    0,         0,   682560,<0.01 
 CARRY8                    , 2260,    0,         0,    42660, 5.30 
 F7 Muxes                  ,  308,    0,         0,   170640, 0.18 
 F8 Muxes                  ,   64,    0,         0,    85320, 0.08 
 F9 Muxes                  ,    0,    0,         0,    42660, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 268  ,         Yes,          -,         Set 
 9866 ,         Yes,          -,       Reset 
 1567 ,         Yes,        Set,           - 
 62978,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       ,10555,    0,         0,    42660,24.74 
   CLBL                                    , 4806,    0,          ,         ,      
   CLBM                                    , 5749,    0,          ,         ,      
 LUT as Logic                              ,40023,    0,         0,   341280,11.73 
   using O5 output only                    , 1486,     ,          ,         ,      
   using O6 output only                    ,29333,     ,          ,         ,      
   using O5 and O6                         , 9204,     ,          ,         ,      
 LUT as Memory                             , 7038,    0,         0,   184320, 3.82 
   LUT as Distributed RAM                  , 2784,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   28,     ,          ,         ,      
     using O5 and O6                       , 2756,     ,          ,         ,      
   LUT as Shift Register                   , 4254,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 2964,     ,          ,         ,      
     using O5 and O6                       , 1290,     ,          ,         ,      
 CLB Registers                             ,74679,    0,         0,   682560,10.94 
   Register driven from within the CLB     ,41621,     ,          ,         ,      
   Register driven from outside the CLB    ,33058,     ,          ,         ,      
