          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,49998,    0,         0,    87840,56.92 
   LUT as Logic            ,42379,    0,         0,    87840,48.25 
   LUT as Memory           , 7619,    0,         0,    57600,13.23 
     LUT as Distributed RAM, 3332,    0,          ,         ,      
     LUT as Shift Register , 4287,    0,          ,         ,      
 CLB Registers             ,79305,    0,         0,   175680,45.14 
   Register as Flip Flop   ,79305,    0,         0,   175680,45.14 
   Register as Latch       ,    0,    0,         0,   175680, 0.00 
 CARRY8                    , 2260,    0,         0,    14640,15.44 
 F7 Muxes                  ,  380,    0,         0,    58560, 0.65 
 F8 Muxes                  ,  105,    0,         0,    29280, 0.36 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 268  ,         Yes,          -,         Set 
 10441,         Yes,          -,       Reset 
 1619 ,         Yes,        Set,           - 
 66977,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       ,10677,    0,         0,    14640,72.93 
   CLBL                                    , 5267,    0,          ,         ,      
   CLBM                                    , 5410,    0,          ,         ,      
 LUT as Logic                              ,42379,    0,         0,    87840,48.25 
   using O5 output only                    , 2210,     ,          ,         ,      
   using O6 output only                    ,30177,     ,          ,         ,      
   using O5 and O6                         , 9992,     ,          ,         ,      
 LUT as Memory                             , 7619,    0,         0,    57600,13.23 
   LUT as Distributed RAM                  , 3332,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   40,     ,          ,         ,      
     using O5 and O6                       , 3292,     ,          ,         ,      
   LUT as Shift Register                   , 4287,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 2997,     ,          ,         ,      
     using O5 and O6                       , 1290,     ,          ,         ,      
 CLB Registers                             ,79305,    0,         0,   175680,45.14 
   Register driven from within the CLB     ,44508,     ,          ,         ,      
   Register driven from outside the CLB    ,34797,     ,          ,         ,      
     LUT in front of the register is unused,26577,     ,          ,         ,      
     LUT in front of the register is used  , 8220,     ,          ,         ,      
 Unique Control Sets                       , 2565,     ,         0,    29280, 8.76 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  97,    0,         0,      128,75.78 
   RAMB36/FIFO*   ,  23,    0,         0,      128,17.97 
     RAMB36E2 only,  23,     ,          ,         ,      
   RAMB18         , 148,    0,         0,      256,57.81 
     RAMB18E2 only, 148,     ,          ,         ,      
 URAM             ,   2,    0,         0,       48, 4.17 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          , 230,    0,         0,      728,31.59 
   DSP48E2 only, 230,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 116,  116,         0,      252,46.03 
 HPIOB_M         ,  49,   49,         0,       72,68.06 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  48,   48,         0,       72,66.67 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   9,    9,         0,       48,18.75 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   5,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_S         ,  10,   10,         0,       48,20.83 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   6,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,  16,   16,         0,       96,16.67 
   DIFFINBUF     ,  16,   16,          ,         ,      
 HPIOBDIFFOUTBUF ,  16,   16,         0,       96,16.67 
   OBUFDS        ,  16,   16,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       48, 0.00 
 BITSLICE_CONTROL,   2,    0,         0,       32, 6.25 
 BITSLICE_RX_TX  ,  48,   48,         0,     1248, 3.85 
   IDELAY        ,  14,   14,          ,         ,      
   OSERDES       ,  20,   20,          ,         ,      
   IDDR          ,  14,   14,          ,         ,      
 BITSLICE_TX     ,   0,    0,         0,       32, 0.00 
 RIU_OR          ,   0,    0,         0,       16, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,  10,    0,         0,      352, 2.84 
   BUFGCE            ,   6,    0,         0,      112, 5.36 
   BUFGCE_DIV        ,   0,    0,         0,       16, 0.00 
   BUFG_GT           ,   0,    0,         0,       96, 0.00 
   BUFG_PS           ,   4,    0,         0,       96, 4.17 
   BUFGCTRL*         ,   0,    0,         0,       32, 0.00 
 PLL                 ,   0,    0,         0,        8, 0.00 
 MMCM                ,   0,    0,         0,        4, 0.00 
    Site Type   ,Used,Fixed,Prohibited,Available, Util% 
 GTHE4_CHANNEL  ,   0,    0,         0,        4,  0.00 
 GTHE4_COMMON   ,   0,    0,         0,        1,  0.00 
 OBUFDS_GTE4    ,   0,    0,         0,        2,  0.00 
 OBUFDS_GTE4_ADV,   0,    0,         0,        2,  0.00 
 PCIE40E4       ,   0,    0,         0,        2,  0.00 
 PS8            ,   1,    0,         0,        1,100.00 
 SYSMONE4       ,   0,    0,         0,        1,  0.00 
 VCU            ,   0,    0,         0,        1,  0.00 
  Site Type ,Used,Fixed,Prohibited,Available,Util% 
 BSCANE2    ,   0,    0,         0,        4, 0.00 
 DNA_PORTE2 ,   0,    0,         0,        1, 0.00 
 EFUSE_USR  ,   0,    0,         0,        1, 0.00 
 FRAME_ECCE4,   0,    0,         0,        1, 0.00 
 ICAPE3     ,   0,    0,         0,        2, 0.00 
 MASTER_JTAG,   0,    0,         0,        1, 0.00 
 STARTUPE3  ,   0,    0,         0,        1, 0.00 
  Ref Name , Used,Functional Category 
 FDRE      ,66977,           Register 
 LUT3      ,15919,                CLB 
 LUT6      ,11463,                CLB 
 LUT2      ,11116,                CLB 
 FDCE      ,10441,           Register 
 LUT4      , 5980,                CLB 
