          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,27219,    0,         0,    87840,30.99 
   LUT as Logic            ,23170,    0,         0,    87840,26.38 
   LUT as Memory           , 4049,    0,         0,    57600, 7.03 
     LUT as Distributed RAM, 1720,    0,          ,         ,      
     LUT as Shift Register , 2329,    0,          ,         ,      
 CLB Registers             ,42385,    0,         0,   175680,24.13 
   Register as Flip Flop   ,42385,    0,         0,   175680,24.13 
   Register as Latch       ,    0,    0,         0,   175680, 0.00 
 CARRY8                    , 1130,    0,         0,    14640, 7.72 
 F7 Muxes                  ,  160,    0,         0,    58560, 0.27 
 F8 Muxes                  ,   32,    0,         0,    29280, 0.11 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 134  ,         Yes,          -,         Set 
 5270 ,         Yes,          -,       Reset 
 940  ,         Yes,        Set,           - 
 36041,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 5864,    0,         0,    14640,40.05 
   CLBL                                    , 2547,    0,          ,         ,      
   CLBM                                    , 3317,    0,          ,         ,      
 LUT as Logic                              ,23170,    0,         0,    87840,26.38 
   using O5 output only                    , 1394,     ,          ,         ,      
   using O6 output only                    ,16300,     ,          ,         ,      
   using O5 and O6                         , 5476,     ,          ,         ,      
 LUT as Memory                             , 4049,    0,         0,    57600, 7.03 
   LUT as Distributed RAM                  , 1720,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   16,     ,          ,         ,      
     using O5 and O6                       , 1704,     ,          ,         ,      
   LUT as Shift Register                   , 2329,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1684,     ,          ,         ,      
     using O5 and O6                       ,  645,     ,          ,         ,      
 CLB Registers                             ,42385,    0,         0,   175680,24.13 
   Register driven from within the CLB     ,23724,     ,          ,         ,      
   Register driven from outside the CLB    ,18661,     ,          ,         ,      
     LUT in front of the register is unused,14128,     ,          ,         ,      
     LUT in front of the register is used  , 4533,     ,          ,         ,      
 Unique Control Sets                       , 1501,     ,         0,    29280, 5.13 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  49,    0,         0,      128,38.28 
   RAMB36/FIFO*   ,  12,    0,         0,      128, 9.38 
     RAMB36E2 only,  12,     ,          ,         ,      
   RAMB18         ,  74,    0,         0,      256,28.91 
     RAMB18E2 only,  74,     ,          ,         ,      
 URAM             ,   1,    0,         0,       48, 2.08 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          , 115,    0,         0,      728,15.80 
   DSP48E2 only, 115,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 100,  100,         0,      252,39.68 
 HPIOB_M         ,  41,   41,         0,       72,56.94 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   9,    9,         0,       48,18.75 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   5,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_S         ,  10,   10,         0,       48,20.83 
   INPUT         ,   4,     ,          ,         ,      
   OUTPUT        ,   6,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   8,    8,         0,       96, 8.33 
   DIFFINBUF     ,   8,    8,          ,         ,      
