          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,47012,    0,         0,    70560,66.63 
   LUT as Logic            ,39976,    0,         0,    70560,56.66 
   LUT as Memory           , 7036,    0,         0,    28800,24.43 
     LUT as Distributed RAM, 2784,    0,          ,         ,      
     LUT as Shift Register , 4252,    0,          ,         ,      
 CLB Registers             ,74734,    0,         0,   141120,52.96 
   Register as Flip Flop   ,74734,    0,         0,   141120,52.96 
   Register as Latch       ,    0,    0,         0,   141120, 0.00 
 CARRY8                    , 2260,    0,         0,     8820,25.62 
 F7 Muxes                  ,  310,    0,         0,    35280, 0.88 
 F8 Muxes                  ,   64,    0,         0,    17640, 0.36 
 F9 Muxes                  ,    0,    0,         0,     8820, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 282  ,         Yes,          -,         Set 
 9827 ,         Yes,          -,       Reset 
 1567 ,         Yes,        Set,           - 
 63058,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 8803,    0,         0,     8820,99.81 
   CLBL                                    , 5210,    0,          ,         ,      
   CLBM                                    , 3593,    0,          ,         ,      
 LUT as Logic                              ,39976,    0,         0,    70560,56.66 
   using O5 output only                    , 1363,     ,          ,         ,      
   using O6 output only                    ,29396,     ,          ,         ,      
   using O5 and O6                         , 9217,     ,          ,         ,      
 LUT as Memory                             , 7036,    0,         0,    28800,24.43 
   LUT as Distributed RAM                  , 2784,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   28,     ,          ,         ,      
     using O5 and O6                       , 2756,     ,          ,         ,      
   LUT as Shift Register                   , 4252,    0,          ,         ,      
     using O5 output only                  ,    1,     ,          ,         ,      
     using O6 output only                  , 2959,     ,          ,         ,      
     using O5 and O6                       , 1292,     ,          ,         ,      
 CLB Registers                             ,74734,    0,         0,   141120,52.96 
   Register driven from within the CLB     ,42310,     ,          ,         ,      
   Register driven from outside the CLB    ,32424,     ,          ,         ,      
     LUT in front of the register is unused,21349,     ,          ,         ,      
     LUT in front of the register is used  ,11075,     ,          ,         ,      
 Unique Control Sets                       , 2915,     ,         0,    17640,16.52 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   , 105,    0,         0,      216,48.61 
   RAMB36/FIFO*   ,  31,    0,         0,      216,14.35 
     RAMB36E2 only,  31,     ,          ,         ,      
   RAMB18         , 148,    0,         0,      432,34.26 
     RAMB18E2 only, 148,     ,          ,         ,      
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          , 230,    0,         0,      360,63.89 
   DSP48E2 only, 230,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      , 108,  108,         0,      252,42.86 
 HPIOB_M         ,  49,   49,         0,       72,68.06 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  48,   48,         0,       72,66.67 
   INPUT         ,  24,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   5,    5,         0,       48,10.42 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   4,     ,          ,         ,      
 HDIOB_S         ,   6,    6,         0,       48,12.50 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   5,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,  16,   16,         0,       72,22.22 
   DIFFINBUF     ,  16,   16,          ,         ,      
 HPIOBDIFFOUTBUF ,  16,   16,         0,       72,22.22 
   OBUFDS        ,  16,   16,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       48, 0.00 
 BITSLICE_CONTROL,   2,    0,         0,       24, 8.33 
 BITSLICE_RX_TX  ,  48,   48,         0,      936, 5.13 
   IDELAY        ,  14,   14,          ,         ,      
   OSERDES       ,  20,   20,          ,         ,      
   IDDR          ,  14,   14,          ,         ,      
 BITSLICE_TX     ,   0,    0,         0,       24, 0.00 
 RIU_OR          ,   0,    0,         0,       12, 0.00 
       Site Type     ,Used,Fixed,Prohibited,Available,Util% 
 GLOBAL CLOCK BUFFERs,   8,    0,         0,      196, 4.08 
   BUFGCE            ,   5,    0,         0,       88, 5.68 
   BUFGCE_DIV        ,   0,    0,         0,       12, 0.00 
   BUFG_PS           ,   3,    0,         0,       72, 4.17 
   BUFGCTRL*         ,   0,    0,         0,       24, 0.00 
 PLL                 ,   0,    0,         0,        6, 0.00 
 MMCM                ,   0,    0,         0,        3, 0.00 
 Site Type,Used,Fixed,Prohibited,Available, Util% 
 PS8      ,   1,    0,         0,        1,100.00 
 SYSMONE4 ,   0,    0,         0,        1,  0.00 
  Site Type ,Used,Fixed,Prohibited,Available,Util% 
 BSCANE2    ,   0,    0,         0,        4, 0.00 
 DNA_PORTE2 ,   0,    0,         0,        1, 0.00 
 EFUSE_USR  ,   0,    0,         0,        1, 0.00 
 FRAME_ECCE4,   0,    0,         0,        1, 0.00 
 ICAPE3     ,   0,    0,         0,        2, 0.00 
 MASTER_JTAG,   0,    0,         0,        1, 0.00 
 STARTUPE3  ,   0,    0,         0,        1, 0.00 
  Ref Name , Used,Functional Category 
 FDRE      ,63058,           Register 
 LUT3      ,14577,                CLB 
 LUT2      ,11076,                CLB 
 LUT6      ,10542,                CLB 
 FDCE      , 9827,           Register 
 LUT4      , 5860,                CLB 
 LUT5      , 5416,                CLB 
 SRL16E    , 5033,                CLB 
 RAMD32    , 4842,                CLB 
 CARRY8    , 2260,                CLB 
 LUT1      , 1722,                CLB 
 FDSE      , 1567,           Register 
 RAMS32    ,  698,                CLB 
 SRLC32E   ,  511,                CLB 
 MUXF7     ,  310,                CLB 
 FDPE      ,  282,           Register 
 DSP48E2   ,  230,         Arithmetic 
 RAMB18E2  ,  148,           BLOCKRAM 
 MUXF8     ,   64,                CLB 
 IBUFCTRL  ,   41,             Others 
 RAMB36E2  ,   31,           BLOCKRAM 
 INBUF     ,   25,                I/O 
 OSERDESE3 ,   20,                I/O 
 OBUF      ,   19,                I/O 
 OBUFDS    ,   16,                I/O 
 DIFFINBUF ,   16,                I/O 
 IDELAYE3  ,   14,                I/O 
 IDDRE1    ,   14,           Register 
 OBUFT     ,    9,                I/O 
 BUFGCE    ,    5,              Clock 
 BUFG_PS   ,    3,              Clock 
 IDELAYCTRL,    2,                I/O 
 PS8       ,    1,           Advanced 
 Ref Name,Used 
             Ref Name           ,Used 
 system_util_ad9361_tdd_sync_1_0,   1 
 system_util_ad9361_tdd_sync_0_0,   1 
 system_sys_user_rstgen_0       ,   1 
 system_sys_rstgen_0            ,   1 
 system_sys_ps8_0               ,   1 
 system_rom_0                   ,   1 
 system_default_chan_block_1_0  ,   1 
 system_default_chan_block_0_0  ,   1 
 system_concat_9361_1_0         ,   1 
 system_concat_9361_0_0         ,   1 
 system_bram_ctrl_0             ,   1 
 system_axi_hp3_interconnect_0  ,   1 
 system_axi_hp2_interconnect_0  ,   1 
 system_axi_hp1_interconnect_0  ,   1 
 system_axi_hp0_interconnect_0  ,   1 
 system_axi_cpu_interconnect_0  ,   1 
 system_axi_ad9361_dac_dma_1_0  ,   1 
 system_axi_ad9361_dac_dma_0_0  ,   1 
 system_axi_ad9361_adc_dma_1_0  ,   1 
 system_axi_ad9361_adc_dma_0_0  ,   1 
 system_axi_ad9361_1_0          ,   1 
 system_axi_ad9361_0_0          ,   1 
 system_adc_clk_reset_0         ,   1 
