          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,25632,    0,         0,   341280, 7.51 
   LUT as Logic            ,21901,    0,         0,   341280, 6.42 
   LUT as Memory           , 3731,    0,         0,   184320, 2.02 
     LUT as Distributed RAM, 1422,    0,          ,         ,      
     LUT as Shift Register , 2309,    0,          ,         ,      
 CLB Registers             ,39391,    0,         0,   682560, 5.77 
   Register as Flip Flop   ,39391,    0,         0,   682560, 5.77 
   Register as Latch       ,    0,    0,         0,   682560, 0.00 
 CARRY8                    , 1130,    0,         0,    42660, 2.65 
 F7 Muxes                  ,  165,    0,         0,   170640, 0.10 
 F8 Muxes                  ,   32,    0,         0,    85320, 0.04 
 F9 Muxes                  ,    0,    0,         0,    42660, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 140  ,         Yes,          -,         Set 
 4935 ,         Yes,          -,       Reset 
 885  ,         Yes,        Set,           - 
 33431,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 5593,    0,         0,    42660,13.11 
   CLBL                                    , 2473,    0,          ,         ,      
   CLBM                                    , 3120,    0,          ,         ,      
 LUT as Logic                              ,21901,    0,         0,   341280, 6.42 
   using O5 output only                    , 1091,     ,          ,         ,      
   using O6 output only                    ,15724,     ,          ,         ,      
   using O5 and O6                         , 5086,     ,          ,         ,      
 LUT as Memory                             , 3731,    0,         0,   184320, 2.02 
   LUT as Distributed RAM                  , 1422,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   14,     ,          ,         ,      
     using O5 and O6                       , 1408,     ,          ,         ,      
   LUT as Shift Register                   , 2309,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1664,     ,          ,         ,      
     using O5 and O6                       ,  645,     ,          ,         ,      
 CLB Registers                             ,39391,    0,         0,   682560, 5.77 
   Register driven from within the CLB     ,22130,     ,          ,         ,      
   Register driven from outside the CLB    ,17261,     ,          ,         ,      
     LUT in front of the register is unused,13350,     ,          ,         ,      
     LUT in front of the register is used  , 3911,     ,          ,         ,      
 Unique Control Sets                       , 1545,     ,         0,    85320, 1.81 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  49,    0,         0,      744, 6.59 
   RAMB36/FIFO*   ,  12,    0,         0,      744, 1.61 
     RAMB36E2 only,  12,     ,          ,         ,      
   RAMB18         ,  74,    0,         0,     1488, 4.97 
     RAMB18E2 only,  74,     ,          ,         ,      
 URAM             ,   1,    0,         0,      112, 0.89 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          , 115,    0,         0,     3528, 3.26 
   DSP48E2 only, 115,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  92,   92,         0,      204,45.10 
 HPIOB_M         ,  41,   41,         0,       72,56.94 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   5,    5,         0,       24,20.83 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   4,     ,          ,         ,      
 HDIOB_S         ,   6,    6,         0,       24,25.00 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   5,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   8,    8,         0,       96, 8.33 
   DIFFINBUF     ,   8,    8,          ,         ,      
 HPIOBDIFFOUTBUF ,   8,    8,         0,       96, 8.33 
   OBUFDS        ,   8,    8,          ,         ,      
 HDIOBDIFFINBUF  ,   0,    0,         0,       60, 0.00 
 BITSLICE_CONTROL,   1,    0,         0,       32, 3.13 
 BITSLICE_RX_TX  ,  24,   24,         0,     1248, 1.92 
   IDELAY        ,   7,    7,          ,         ,      
   OSERDES       ,  10,   10,          ,         ,      
   IDDR          ,   7,    7,          ,         ,      
