          Site Type        , Used,Fixed,Prohibited,Available,Util% 
 CLB LUTs                  ,27174,    0,         0,    87840,30.94 
   LUT as Logic            ,23125,    0,         0,    87840,26.33 
   LUT as Memory           , 4049,    0,         0,    57600, 7.03 
     LUT as Distributed RAM, 1720,    0,          ,         ,      
     LUT as Shift Register , 2329,    0,          ,         ,      
 CLB Registers             ,42397,    0,         0,   175680,24.13 
   Register as Flip Flop   ,42397,    0,         0,   175680,24.13 
   Register as Latch       ,    0,    0,         0,   175680, 0.00 
 CARRY8                    , 1130,    0,         0,    14640, 7.72 
 F7 Muxes                  ,  160,    0,         0,    58560, 0.27 
 F8 Muxes                  ,   32,    0,         0,    29280, 0.11 
 F9 Muxes                  ,    0,    0,         0,    14640, 0.00 
 Total,Clock Enable,Synchronous,Asynchronous 
 0    ,           _,          -,           - 
 0    ,           _,          -,         Set 
 0    ,           _,          -,       Reset 
 0    ,           _,        Set,           - 
 0    ,           _,      Reset,           - 
 0    ,         Yes,          -,           - 
 143  ,         Yes,          -,         Set 
 5233 ,         Yes,          -,       Reset 
 940  ,         Yes,        Set,           - 
 36081,         Yes,      Reset,           - 
                  Site Type                , Used,Fixed,Prohibited,Available,Util% 
 CLB                                       , 5824,    0,         0,    14640,39.78 
   CLBL                                    , 2924,    0,          ,         ,      
   CLBM                                    , 2900,    0,          ,         ,      
 LUT as Logic                              ,23125,    0,         0,    87840,26.33 
   using O5 output only                    , 1353,     ,          ,         ,      
   using O6 output only                    ,16317,     ,          ,         ,      
   using O5 and O6                         , 5455,     ,          ,         ,      
 LUT as Memory                             , 4049,    0,         0,    57600, 7.03 
   LUT as Distributed RAM                  , 1720,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  ,   16,     ,          ,         ,      
     using O5 and O6                       , 1704,     ,          ,         ,      
   LUT as Shift Register                   , 2329,    0,          ,         ,      
     using O5 output only                  ,    0,     ,          ,         ,      
     using O6 output only                  , 1684,     ,          ,         ,      
     using O5 and O6                       ,  645,     ,          ,         ,      
 CLB Registers                             ,42397,    0,         0,   175680,24.13 
   Register driven from within the CLB     ,23780,     ,          ,         ,      
   Register driven from outside the CLB    ,18617,     ,          ,         ,      
     LUT in front of the register is unused,14023,     ,          ,         ,      
     LUT in front of the register is used  , 4594,     ,          ,         ,      
 Unique Control Sets                       , 1612,     ,         0,    29280, 5.51 
     Site Type    ,Used,Fixed,Prohibited,Available,Util% 
 Block RAM Tile   ,  49,    0,         0,      128,38.28 
   RAMB36/FIFO*   ,  12,    0,         0,      128, 9.38 
     RAMB36E2 only,  12,     ,          ,         ,      
   RAMB18         ,  74,    0,         0,      256,28.91 
     RAMB18E2 only,  74,     ,          ,         ,      
 URAM             ,   1,    0,         0,       48, 2.08 
    Site Type  ,Used,Fixed,Prohibited,Available,Util% 
 DSPs          , 115,    0,         0,      728,15.80 
   DSP48E2 only, 115,     ,          ,         ,      
     Site Type   ,Used,Fixed,Prohibited,Available,Util% 
 Bonded IOB      ,  92,   92,         0,      252,36.51 
 HPIOB_M         ,  41,   41,         0,       72,56.94 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  25,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HPIOB_S         ,  40,   40,         0,       72,55.56 
   INPUT         ,  16,     ,          ,         ,      
   OUTPUT        ,  24,     ,          ,         ,      
   BIDIR         ,   0,     ,          ,         ,      
 HDIOB_M         ,   5,    5,         0,       48,10.42 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   4,     ,          ,         ,      
 HDIOB_S         ,   6,    6,         0,       48,12.50 
   INPUT         ,   0,     ,          ,         ,      
   OUTPUT        ,   1,     ,          ,         ,      
   BIDIR         ,   5,     ,          ,         ,      
 HPIOB_SNGL      ,   0,    0,         0,       12, 0.00 
 HPIOBDIFFINBUF  ,   8,    8,         0,       96, 8.33 
   DIFFINBUF     ,   8,    8,          ,         ,      
 HPIOBDIFFOUTBUF ,   8,    8,         0,       96, 8.33 
   OBUFDS        ,   8,    8,          ,         ,      
